ID,Temporary_ID,Stock,Infection_Status,Date_Iso,Clutch_Num,Death_Date,Date_Gravid,Date_Drop,Clutch_Est_R,Clutch_Est_L,Inf_Intensity,Strain,Clutch_Tot,Clutch_Sym,Holding_Time,Next_Date_Gravid,Time_Between_Clutches,age_post_iso,Maximum_Dens,DOB,prp_survival,Treatment_Fine,is_post,Clutch_Tot_post,Maximum_Dens_post,prp_survival_post,PostTreat_Eggs_Ind,PostTreat_Nauplii_Ind,has_post_clutch,has_post_hatch,Oldest_nonzero_F1_minusfirst
GR_101C,101C,C,EXP,2025-06-04T00:00:00Z,1,NA,2025-06-04T00:00:00Z,2025-06-06T00:00:00Z,36,36,0,MER,72,1,2,2025-06-24T00:00:00Z,18,NA,28,2025-06-06T00:00:00Z,0.3888888888888889,EXP_MER,FALSE,NA,NA,NA,84,14,TRUE,TRUE,29
GR_101C,101C,C,EXP,2025-06-04T00:00:00Z,2,NA,2025-06-24T00:00:00Z,2025-06-25T00:00:00Z,6,7,NA,MER,13,0.8571428571428571,1,2025-06-30T00:00:00Z,5,NA,4,2025-06-25T00:00:00Z,0.3076923076923077,EXP_MER,TRUE,13,4,0.3076923076923077,84,14,TRUE,TRUE,29
GR_101C,101C,C,EXP,2025-06-04T00:00:00Z,3,NA,2025-06-30T00:00:00Z,2025-07-03T00:00:00Z,18,16,NA,MER,34,0.8888888888888888,3,2025-07-11T00:00:00Z,8,NA,10,2025-07-03T00:00:00Z,0.29411764705882354,EXP_MER,TRUE,34,10,0.29411764705882354,84,14,TRUE,TRUE,29
GR_101C,101C,C,EXP,2025-06-04T00:00:00Z,4,NA,2025-07-11T00:00:00Z,2025-07-14T00:00:00Z,11,2,NA,MER,13,0.18181818181818185,3,2025-08-04T00:00:00Z,21,NA,0,2025-07-14T00:00:00Z,0,EXP_MER,TRUE,13,0,0,84,14,TRUE,TRUE,29
GR_101C,101C,C,EXP,2025-06-04T00:00:00Z,5,NA,2025-08-04T00:00:00Z,2025-08-28T00:00:00Z,10,0,NA,MER,10,0,24,2025-09-01T00:00:00Z,4,NA,0,2025-07-14T00:00:00Z,0,EXP_MER,TRUE,10,0,0,84,14,TRUE,TRUE,29
GR_101C,101C,C,EXP,2025-06-04T00:00:00Z,6,NA,2025-09-01T00:00:00Z,2025-09-02T00:00:00Z,1,0,NA,MER,1,0,1,2025-09-08T00:00:00Z,6,NA,0,2025-07-14T00:00:00Z,0,EXP_MER,TRUE,1,0,0,84,14,TRUE,TRUE,29
GR_101C,101C,C,EXP,2025-06-04T00:00:00Z,7,2025-09-15T00:00:00Z,2025-09-08T00:00:00Z,NA,8,5,NA,MER,13,0.625,NA,NA,NA,103,0,2025-09-08T00:00:00Z,0,EXP_MER,TRUE,13,0,0,84,14,TRUE,TRUE,29
GR_104D,104D,Dii,EXP,2025-06-04T00:00:00Z,1,NA,2025-06-04T00:00:00Z,2025-06-06T00:00:00Z,26,24,0,MER,50,0.9230769230769232,2,2025-06-10T00:00:00Z,4,NA,30,2025-06-05T00:00:00Z,0.6,EXP_MER,FALSE,NA,NA,NA,84,12,TRUE,TRUE,14
GR_104D,104D,Dii,EXP,2025-06-04T00:00:00Z,2,NA,2025-06-10T00:00:00Z,2025-06-13T00:00:00Z,22,22,NA,MER,44,1,3,2025-06-16T00:00:00Z,3,NA,0,2025-06-13T00:00:00Z,0,EXP_MER,TRUE,44,0,0,84,12,TRUE,TRUE,14
GR_104D,104D,Dii,EXP,2025-06-04T00:00:00Z,3,2025-06-19T00:00:00Z,2025-06-16T00:00:00Z,2025-06-18T00:00:00Z,20,20,NA,MER,40,1,2,NA,NA,15,12,2025-06-18T00:00:00Z,0.3,EXP_MER,TRUE,40,12,0.3,84,12,TRUE,TRUE,14
GR_105D,105D,Dii,INF,2025-06-04T00:00:00Z,1,NA,2025-06-04T00:00:00Z,2025-06-06T00:00:00Z,32,34,2,MER,66,0.9411764705882352,2,2025-06-11T00:00:00Z,5,NA,25,2025-06-06T00:00:00Z,0.3787878787878788,INF,FALSE,NA,NA,NA,12,0,TRUE,FALSE,0
GR_105D,105D,Dii,INF,2025-06-04T00:00:00Z,2,2025-07-17T00:00:00Z,2025-06-11T00:00:00Z,2025-06-23T00:00:00Z,4,8,NA,MER,12,0.5,12,NA,NA,43,0,2025-06-23T00:00:00Z,0,INF,TRUE,12,0,0,12,0,TRUE,FALSE,0
GR_106D,106D,Dii,INF,2025-06-04T00:00:00Z,1,2025-06-30T00:00:00Z,2025-06-04T00:00:00Z,2025-06-06T00:00:00Z,22,20,NA,MER,42,0.9090909090909092,2,NA,NA,26,30,2025-06-05T00:00:00Z,0.7142857142857143,INF,FALSE,NA,NA,NA,0,0,FALSE,FALSE,0
GR_107D,107D,Dii,INF,2025-06-04T00:00:00Z,1,2025-06-23T00:00:00Z,2025-06-04T00:00:00Z,2025-06-06T00:00:00Z,16,12,NA,MER,28,0.75,2,NA,NA,19,20,2025-06-06T00:00:00Z,0.7142857142857143,INF,FALSE,NA,NA,NA,0,0,FALSE,FALSE,0
GR_108D,108D,Dii,EXP,2025-06-04T00:00:00Z,1,2025-06-30T00:00:00Z,2025-06-04T00:00:00Z,2025-06-06T00:00:00Z,20,22,0,MER,42,0.9090909090909092,2,NA,NA,26,0,2025-06-05T00:00:00Z,0,EXP_MER,FALSE,NA,NA,NA,0,0,FALSE,FALSE,0
GR_109D,109D,Dii,EXP,2025-06-04T00:00:00Z,1,NA,2025-06-04T00:00:00Z,2025-06-06T00:00:00Z,32,34,0,MER,66,0.9411764705882352,2,2025-06-11T00:00:00Z,5,NA,40,2025-06-06T00:00:00Z,0.6060606060606061,EXP_MER,FALSE,NA,NA,NA,227,70,TRUE,TRUE,41
GR_109D,109D,Dii,EXP,2025-06-04T00:00:00Z,2,NA,2025-06-11T00:00:00Z,2025-06-13T00:00:00Z,24,22,NA,MER,46,0.9166666666666666,2,2025-06-23T00:00:00Z,10,NA,4,2025-06-13T00:00:00Z,0.08695652173913043,EXP_MER,TRUE,46,4,0.08695652173913043,227,70,TRUE,TRUE,41
GR_109D,109D,Dii,EXP,2025-06-04T00:00:00Z,3,NA,2025-06-23T00:00:00Z,2025-06-25T00:00:00Z,8,10,NA,MER,18,0.8,2,2025-06-30T00:00:00Z,5,NA,12,2025-06-25T00:00:00Z,0.6666666666666666,EXP_MER,TRUE,18,12,0.6666666666666666,227,70,TRUE,TRUE,41
GR_109D,109D,Dii,EXP,2025-06-04T00:00:00Z,4,NA,2025-06-30T00:00:00Z,2025-07-03T00:00:00Z,30,32,NA,MER,62,0.9375,3,2025-07-05T00:00:00Z,2,NA,22,2025-07-03T00:00:00Z,0.3548387096774194,EXP_MER,TRUE,62,22,0.3548387096774194,227,70,TRUE,TRUE,41
GR_109D,109D,Dii,EXP,2025-06-04T00:00:00Z,5,NA,2025-07-05T00:00:00Z,2025-07-07T00:00:00Z,24,26,NA,MER,50,0.9230769230769232,2,2025-07-14T00:00:00Z,7,NA,14,2025-07-07T00:00:00Z,0.28,EXP_MER,TRUE,50,14,0.28,227,70,TRUE,TRUE,41
GR_109D,109D,Dii,EXP,2025-06-04T00:00:00Z,6,NA,2025-07-14T00:00:00Z,2025-07-15T00:00:00Z,24,26,NA,MER,50,0.9230769230769232,1,2025-09-01T00:00:00Z,48,NA,18,2025-07-15T00:00:00Z,0.36,EXP_MER,TRUE,50,18,0.36,227,70,TRUE,TRUE,41
GR_109D,109D,Dii,EXP,2025-06-04T00:00:00Z,7,2025-09-15T00:00:00Z,2025-09-01T00:00:00Z,2025-09-02T00:00:00Z,1,0,NA,MER,1,0,1,NA,NA,103,0,2025-07-15T00:00:00Z,0,EXP_MER,TRUE,1,0,0,227,70,TRUE,TRUE,41
GR_10E,10,Eii,UNEX,2025-01-21T00:00:00Z,1,NA,2025-01-21T00:00:00Z,2025-01-22T00:00:00Z,28,28,NA,NA,56,1,1,2025-01-27T00:00:00Z,5,NA,22,2025-01-22T00:00:00Z,0.3928571428571429,UNEX,FALSE,NA,NA,NA,55,29,TRUE,TRUE,8
GR_10E,10,Eii,UNEX,2025-01-21T00:00:00Z,2,NA,2025-01-27T00:00:00Z,2025-01-29T00:00:00Z,20,22,NA,NA,42,0.9090909090909092,2,2025-02-12T00:00:00Z,14,NA,29,2025-01-29T00:00:00Z,0.6904761904761905,UNEX,TRUE,42,29,0.6904761904761905,55,29,TRUE,TRUE,8
GR_10E,10,Eii,UNEX,2025-01-21T00:00:00Z,3,2025-02-13T00:00:00Z,2025-02-12T00:00:00Z,NA,6,7,NA,NA,13,0.8571428571428571,NA,NA,NA,23,0,2025-02-12T00:00:00Z,0,UNEX,TRUE,13,0,0,55,29,TRUE,TRUE,8
GR_110D,110D,Dii,EXP,2025-06-04T00:00:00Z,1,NA,2025-06-04T00:00:00Z,2025-06-06T00:00:00Z,28,30,0,MER,58,0.9333333333333332,2,2025-06-10T00:00:00Z,4,NA,20,2025-06-06T00:00:00Z,0.3448275862068966,EXP_MER,FALSE,NA,NA,NA,290,82,TRUE,TRUE,65
GR_110D,110D,Dii,EXP,2025-06-04T00:00:00Z,2,NA,2025-06-10T00:00:00Z,2025-06-13T00:00:00Z,32,32,NA,MER,64,1,3,2025-06-24T00:00:00Z,11,NA,32,2025-06-13T00:00:00Z,0.5,EXP_MER,TRUE,64,32,0.5,290,82,TRUE,TRUE,65
GR_110D,110D,Dii,EXP,2025-06-04T00:00:00Z,3,NA,2025-06-24T00:00:00Z,2025-06-26T00:00:00Z,10,14,NA,MER,24,0.7142857142857143,2,2025-07-03T00:00:00Z,7,NA,16,2025-06-26T00:00:00Z,0.6666666666666666,EXP_MER,TRUE,24,16,0.6666666666666666,290,82,TRUE,TRUE,65
GR_110D,110D,Dii,EXP,2025-06-04T00:00:00Z,4,NA,2025-07-03T00:00:00Z,2025-07-06T00:00:00Z,10,12,NA,MER,22,0.8333333333333334,3,2025-07-11T00:00:00Z,5,NA,0,2025-07-06T00:00:00Z,0,EXP_MER,TRUE,22,0,0,290,82,TRUE,TRUE,65
GR_110D,110D,Dii,EXP,2025-06-04T00:00:00Z,5,NA,2025-07-11T00:00:00Z,2025-07-14T00:00:00Z,8,8,NA,MER,16,1,3,2025-07-22T00:00:00Z,8,NA,4,2025-07-14T00:00:00Z,0.25,EXP_MER,TRUE,16,4,0.25,290,82,TRUE,TRUE,65
GR_110D,110D,Dii,EXP,2025-06-04T00:00:00Z,6,NA,2025-07-22T00:00:00Z,2025-07-24T00:00:00Z,22,20,NA,MER,42,0.9090909090909092,2,2025-07-29T00:00:00Z,5,NA,0,2025-07-24T00:00:00Z,0,EXP_MER,TRUE,42,0,0,290,82,TRUE,TRUE,65
GR_110D,110D,Dii,EXP,2025-06-04T00:00:00Z,7,NA,2025-07-29T00:00:00Z,2025-07-31T00:00:00Z,22,24,NA,MER,46,0.9166666666666666,2,2025-08-06T00:00:00Z,6,NA,15,2025-07-31T00:00:00Z,0.32608695652173914,EXP_MER,TRUE,46,15,0.32608695652173914,290,82,TRUE,TRUE,65
GR_110D,110D,Dii,EXP,2025-06-04T00:00:00Z,8,NA,2025-08-06T00:00:00Z,2025-08-08T00:00:00Z,22,28,NA,MER,50,0.7857142857142857,2,2025-08-13T00:00:00Z,5,NA,15,2025-08-08T00:00:00Z,0.3,EXP_MER,TRUE,50,15,0.3,290,82,TRUE,TRUE,65
